say_something_11a,Someone recently bought a phone and it doesn\'t work,They want to return a phone
say_something_12a,They received a bill that is higher than expected,They want to get the bill reduced to expected amount
say_something_13a,"A student in English class. there is a paper due today, but you have not finished it.",They want to ask the teacher for an extension on the due date.
say_something_14a,A teenager has  a driver's liscence but no car,They want to borrow your parents car tonight
say_something_15a,"Someone has an allergy to gluten, and looking for a place to eat",You want the waiter to tell food options are available.
say_something_16a,"Someone bought a shirt, but when they tried it on it didn\'t fit",They want to return the shirt
say_something_17a,They are applying for a new role at their company ,They want to ask a coworker if they will be a reference
say_something_18a,"They are not feeling well, and call the doctor's office",They want to make an appointment as soon as possible
say_something_19a,They recently moved and call the credit card company,They want to update their address
say_something_0a,Someone is switching to a new phone company.,They want to know if they can keep their old phone number
say_something_11b,Someone recently bought a phone and it doesn\'t work,They want to return a phone
say_something_12b,They received a bill that is higher than expected,They want to get the bill reduced to expected amount
say_something_13b,"A student in English class. there is a paper due today, but you have not finished it.",They want to ask the teacher for an extension on the due date.
say_something_14b,A teenager has  a driver's liscence but no car,They want to borrow your parents car tonight
say_something_15b,"Someone has an allergy to gluten, and looking for a place to eat",You want the waiter to tell food options are available.
say_something_16b,"Someone bought a shirt, but when they tried it on it didn\'t fit",They want to return the shirt
say_something_17b,They are applying for a new role at their company ,They want to ask a coworker if they will be a reference
say_something_18b,"They are not feeling well, and call the doctor's office",They want to make an appointment as soon as possible
say_something_19b,They recently moved and call the credit card company,They want to update their address
say_something_0b,Someone is switching to a new phone company.,They want to know if they can keep their old phone number
say_something_11c,Someone recently bought a phone and it doesn\'t work,They want to return a phone
say_something_12c,They received a bill that is higher than expected,They want to get the bill reduced to expected amount
say_something_13c,"A student in English class. there is a paper due today, but you have not finished it.",They want to ask the teacher for an extension on the due date.
say_something_14c,A teenager has  a driver's liscence but no car,They want to borrow your parents car tonight
say_something_15c,"Someone has an allergy to gluten, and looking for a place to eat",You want the waiter to tell food options are available.
say_something_16c,"Someone bought a shirt, but when they tried it on it didn\'t fit",They want to return the shirt
say_something_17c,They are applying for a new role at their company ,They want to ask a coworker if they will be a reference
say_something_18c,"They are not feeling well, and call the doctor's office",They want to make an appointment as soon as possible
say_something_19c,They recently moved and call the credit card company,They want to update their address
say_something_0c,Someone is switching to a new phone company.,They want to know if they can keep their old phone number
say_something_11d,Someone recently bought a phone and it doesn\'t work,They want to return a phone
say_something_12d,They received a bill that is higher than expected,They want to get the bill reduced to expected amount
say_something_13d,"A student in English class. there is a paper due today, but you have not finished it.",They want to ask the teacher for an extension on the due date.
say_something_14d,A teenager has  a driver's liscence but no car,They want to borrow your parents car tonight
say_something_15d,"Someone has an allergy to gluten, and looking for a place to eat",You want the waiter to tell food options are available.
say_something_16d,"Someone bought a shirt, but when they tried it on it didn\'t fit",They want to return the shirt
say_something_17d,They are applying for a new role at their company ,They want to ask a coworker if they will be a reference
say_something_18d,"They are not feeling well, and call the doctor's office",They want to make an appointment as soon as possible
say_something_19d,They recently moved and call the credit card company,They want to update their address
say_something_0d,Someone is switching to a new phone company.,They want to know if they can keep their old phone number
