GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1a.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-14a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1aa.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-12a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1b.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-45a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1b.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-15a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1bb.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-11a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1c.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-1a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1c.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-16a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1cc.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-10a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1d.jpg'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': True}, 'state': 'completed', 'taskName': 'shoe-contains-heel-2a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1d.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-17a'}}
GET response: {'status_code': 200, 'api_name': 'image-contains', 'task': {'input': {'image': {'url': 'https://s3-us-west-2.amazonaws.com/mturk-sample-media/images-to-compare/image-similarity-1dd.png'}, 'target': {'label': 'heel'}}, 'problemDetails': None, 'result': {'containsTarget': False}, 'state': 'completed', 'taskName': 'shoe-contains-heel-9a'}}
