nlp-input-text-200, "Beast Hunters Shockwave is one of the best!Shockwave returns in transformers prime more badass than ever.This is the coolest version of the Decepticon scientiest since the G1 days.Shockwave has a perfect blend of the beastly attitude combined with the signature G1 style.The head sculpt on this bad boy is amazingly done to perfection with quality articulation throughout the rest of the transformer overall.The detail in both robot and cybertronian tank mode is awesome as well with perfect prime series accuracy.The Cybertronian Tank mode is one of the coolest and improved vehicle modes for Shockwave since the G1 days as well.Shockwave comes with his signature Hyperflux Cannon for the series which has realistic spinning action that is very simple to activate by pushing the button on the arm.Shockwave uses the left tank tredd to connect to the arm for the complete signature look.Shockwave does come with some cool as hell snap-on beast armor that gives him a more menacing beastly appearence.The beast armor is optional to have on or off,so its all in what you think looks better.The poseability is outstanding with great stability for creating cool battle scenes or displaying this gem where you please.The durability is excellent as well with secure ball joint construction and a solid build in either robot or cybertronian tank mode.All parts fit securely together during the transformation process for one solid constructed transformer overall.The transformation level is intermediate meaning if you have plenty of experience with transformers there is mid-level difficulty.If you are a parent buying for a child of 5-6 you might need to help some in the transformationj process.Honestly Shockwave does have a versatile transformation that 5 and above can learn easily after a little practice.To start off disconnect the tank tredd from the arm.Next you rotate the legs around sideways as the legs then will rotate straight up.Rotate the shins and feet down then rotate inwards.The feet rotate down as the next step involves you sliding the feet forward.Rotate the chest piece down so it's between the legs as the head piece will rotate around.The back piece with the tank tredds rotate out as the two purple sections on the chest area slide outwards.The arm with a hand will rotate down and then in forming a L-shape.The arm will then connect underneath as the weapon arm will do the same above.The weapon piece will connect to the middle part on top.Reconnect the tank tredd and Shockwave is ready to roll into battle!In vehicle mode the Hyperflux Cannon is stationary with no side to side movement,but this is not a big deal for how awesome the overall transformer is.If you are a fan of Shockwave this is one Voyager class version that is a masterpiece of quality that will be a treasure in your world of transformers.Bottom line Transformers Prime Beast Hunters Shockwave is a well-made,high quality,10 out of 10 transformer all fans will enjoy.I highly recommend Transformers Prime Beast Hunters Shockwave to all transformer fans and collectors out there.Shockwave Rocks and Transformers Rule!!!"
nlp-input-text-201, "I bought this for a friend who had a toddler.  This pool has served so many purposes and it is very durable.  My friend has put it in the yard where her daughter plays and plays.  Her daddy complains that she loves it so much, she doesn't even notice when he comes home.  She has also taken it to the beach (Zanzibar) and filled it with water and her daughter just plays and plays it there.  She has taken it side of Kilimanjaro, set it up and filled it with water there and her daughter just plays and plays.  She and another toddler friend leap into it and out, splash each other to their hearts content.  It seems very safe and has lasted two years now.  Guess that is pretty good when it gets a hard workout all year long."
nlp-input-text-202, "This is a great game that everyone in your family will enjoy. The goal is simple---unscramble the phrase.We play this with our two children (ages 6 and 8). I was a little concerned that our six year old would not be competitive, but she has actually won the game before and does not find it difficult at all.The best part about this game are all the options. As an example, each player can have his or her own difficulty level. The phrases included are generic enough so that most people will get them. As a rule, if anyone knows the phrase---they have to help the person whose turn it is by letting them know the phrase. This is nice as some of the phrases are geared toward younger kids (e.g. "Nuetron", "The" "Adventures", "Of", "Jimmy") so the kids actually help us.If you enjoy sitting around the table with your family playing games---this is a must have!"
nlp-input-text-203, "Our 4 year old grandson will start T-ball next month and this was a great investment.Kids are very awkward at certain ages and trying to tell them what to do is not easy showing them is the key .Christmas day we had this ready to go he opened it and his dad and aunt showed him what to do and presto a star is born we think so anyway. This toy is worth the money works well for batting and catching.This  would be great for little girls who are going to play softball also.Only negative is it only comes with two balls and the extra balls are to expensive."
nlp-input-text-204, "My three year old twin daughters just received this set for their birthday and they haven't put it down since. It is made of durable, think plastic...not flimsy at all. It is great for pretend play now as they are too young to learn fractions. However, I have already started teaching them the concept of part vs. whole thanks to this set. The pizza box is a very thin cardboard so I am not certain how long that will hold up but the set itself looks like it will last years."
nlp-input-text-205, "My two-year-old is absolutely obsessed with vehicles, particularly school buses, so when I saw this toy, it seemed like just the thing for him.  It wasn't until after we got it that I really examined what it could do and I realized what a great concept it is.The vehicles can easily be split into half, and all parts are interchangeable.  This means my son can play with the school bus as is or we can take it apart and reconstruct it as a half school bus/half fire truck.  Naturally, the more of these sets you own, the wider the variety of mixed-up vehicles you can create.When two sides are joined, they can be turned, winding them up.  Once they're fully wound, you can set them down, push the button on top, and off they go.  I really like the button feature because, unlike conventional windup toys, these vehicles don't take off until my son is good and ready for them to do so.Because my son's younger than the recommended age, he does have difficulty getting the two parts together, but he has learned how to wind them up, thanks to his eight-year-old system, who also enjoys playing with them.  It's fun to watch my little guy put them on the floor, press the button, and then laugh his little head off when they take off.  They've been quite a hit with him, and I'd recommend them for the car-crazy little person in your life.  Oh, and their parents will thank you for buying a fun toy that moves but doesn't require batteries."
nlp-input-text-206, "Got this for my four year old niece for a craft to do on a snowy day.  We had a ton of fun.  There are three slightly fuzzy bobblehead kittens in this set.  There are a set of markers, sticky flowers, glitter glue and material to decorate the kittens with.  The markers were lots of fun as was the glitter glue.  The sticky-backed flowers worked well too.  The least fun part was the material that had to be glued on (and would not stay!)  But all in all, we had a blast and I think I will get these again for my other niece.  FYI I also bought and tried the glitter bobblehead dog set but that one was mostly glue-based without the other fun stuff and wasn't nearly as big of a hit."
nlp-input-text-207, "FFGs XWing game is one of the best new games of the last year and this addition really pushes the bar. The models details are excellent, all the other components are also top knotch. Up your game and get one of these."
nlp-input-text-208, "I just finished building this one, and wow, what project. The flagship (so to speak) of the second wave of LOTR Lego sets, this is definitely for fans of more complex builds. At least I found putting all the little pieces together a bit of a challenge. I had a few minor problems with the sail assembly and a few times I had to backtrack because I misread the pictures in the booklet, but personally, that's what I enjoy about Lego--the challenge and personal involvement.Tho, to be completely honest, the real stars of the show, as always, are the mini-figs, and wow, what a selection you get with this set. You get the three main characters, a good representation of the Army of the Dead, a couple of Orcs with their own battle wagon, and to top things off, they included a Cosair Pirate as well. Needless to say, one of the most generous selections of mini-figs I've seen yet. Also, if your a fan of little tiny accessories--treasure chests, wine bottles, loafs of bread, gold coins, spare weapons--there's plenty of that included too.In short, a really worthwhile set. The hundred dollar price tag is more than justified. If your a LOTR fan, I wouldn't hesitate to buy it. It's one of the better sets I've seen, and that's saying a lot."
nlp-input-text-209, "My 15 month old received this as a Christmas gift, and he loves it! He has some developmental delays, so he doesn't push a lot of the buttons himself, but he loves opening and closing the doors himself, as well as being enthralled when someone pushes the buttons for him. The story feature is good!Like some of the other reviewers remarked the kitchen side just has a door and 2 sliding items inside the fridge - wish it could have been a little more, but it is a great toy anyway!And I love that it has not just an on/off switch, but that it has 2 levels of volume (so the doorbell doesn't drive you crazy!).Overall, I say it is a definite winner!"
